input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439988146.522	372392	17	7	125	v	v	yadgnv	30.17	296.21	yadgnv	Random	1591	0	0.75
1439988149.237	372392	18	0	0	j	j	jflurm	32.74	370.04	jflurm	Random	0	0	1
1439988149.486	372392	18	1	249	f	f	jflurm	32.74	370.04	jflurm	Random	249	0	1
1439988150.204	372392	18	2	717	l	l	jflurm	32.74	370.04	jflurm	Random	967	0	1
1439988150.485	372392	18	3	280	u	u	jflurm	32.74	370.04	jflurm	Random	1247	0	1
1439988150.547	372392	18	4	62	r	r	jflurm	32.74	370.04	jflurm	Random	1309	0	1
1439988150.703	372392	18	5	156	m	m	jflurm	32.74	370.04	jflurm	Random	1466	0	1
1439988153.043	372392	19	0	0	x	x	xlndnds	66.3	157.5	xlndnds	Random	0	0	1
1439988153.137	372392	19	1	94	l	l	xlndnds	66.3	157.5	xlndnds	Random	94	0	1
1439988153.355	372392	19	2	217	n	n	xlndnds	66.3	157.5	xlndnds	Random	312	0	1
1439988153.511	372392	19	3	155	d	d	xlndnds	66.3	157.5	xlndnds	Random	467	0	1
1439988153.698	372392	19	4	187	n	n	xlndnds	66.3	157.5	xlndnds	Random	654	0	1
1439988153.792	372392	19	5	94	d	d	xlndnds	66.3	157.5	xlndnds	Random	749	0	1
1439988153.948	372392	19	6	155	s	s	xlndnds	66.3	157.5	xlndnds	Random	904	0	1
1439988157.286	372392	20	0	0	o	o	ophxwt	32.72	337.54	ophxwt	Random	0	0	1
1439988157.473	372392	20	1	187	p	p	ophxwt	32.72	337.54	ophxwt	Random	187	0	1
1439988157.692	372392	20	2	218	h	h	ophxwt	32.72	337.54	ophxwt	Random	405	0	1
1439988158.316	372392	20	3	624	x	x	ophxwt	32.72	337.54	ophxwt	Random	1029	0	1
1439988158.565	372392	20	4	249	w	w	ophxwt	32.72	337.54	ophxwt	Random	1279	0	1
1439988158.753	372392	20	5	187	t	t	ophxwt	32.72	337.54	ophxwt	Random	1467	0	1
